deserveth	deserves	4	ok
grieveth	grieves	4	ok
boweth	bows	4	ok
adoreth	adores	4	ok
testifieth	testifies	4	ok
correcteth	corrects	4	ok
shaketh	shakes	4	ok
shutteth	shuts	4	irregular
discovereth	discovers	4	ok
restoreth	restores	4	ok
addeth	adds	4	ok
provideth	provides	4	ok
kindleth	kindles	4	ok
delighteth	delights	4	ok
afflicteth	afflicts	4	ok
flieth	flies	4	ok
chastiseth	chastises	4	ok
preserveth	preserves	4	ok
healeth	heals	4	ok
remembereth	remembers	4	ok
ariseth	arises	4	ok
enlighteneth	enlightens	4	ok
deviseth	devises	4	ok
meeteth	meets	4	ok
willeth	wills	4	ok
appeaseth	appeases	4	ok
availeth	avails	4	ok
perisheth	perishes	4	ok
formeth	forms	4	ok (corpus form:24 vs forme:0)
fashioneth	fashions	4	ok
lodgeth	lodges	4	ok
causeth	causes	4	ok
mourneth	mourns	4	ok
defileth	defiles	4	ok
readeth	reads	4	ok
sanctifieth	sanctifies	4	ok
quickeneth	quickens	4	ok
overcometh	overcomes	4	ok
sojourneth	sojourns	3	ok
copulateth	copulates	3	ok
forbiddeth	forbids	3	ok
accepteth	accepts	3	ok
foretelleth	foretells	3	ok
maintaineth	maintains	3	ok
refuseth	refuses	3	ok
springeth	springs	3	ok (corpus spring:50 vs springe:0)
answereth	answers	3	ok
proveth	proves	3	ok
letteth	lets	3	irregular
helpeth	helps	3	ok
surpasseth	surpasses	3	ok
worshippeth	worships	3	ok
requireth	requires	3	ok
comforteth	comforts	3	ok
longeth	longs	3	ok (corpus long:265 vs longe:0)
looseth	looses	3	ok
withholdeth	withholds	3	ok
fadeth	fades	3	ok (corpus fade:3 vs fad:0)
repeateth	repeats	3	ok
scorneth	scorns	3	ok
glorifieth	glorifies	3	ok
rejecteth	rejects	3	ok
reproacheth	reproaches	3	ok
detracteth	detracts	3	ok
stoppeth	stops	3	ok
melteth	melts	3	ok
declineth	declines	3	ok
winketh	winks	3	ok
presseth	presses	3	ok
getteth	gets	3	irregular
concealeth	conceals	3	ok
tilleth	tills	3	curated
neglecteth	neglects	3	ok
confoundeth	confounds	3	ok
oppresseth	oppresses	3	ok
studieth	studies	3	ok
separateth	separates	3	ok
obeyeth	obeys	3	irregular
condemneth	condemns	3	ok
envieth	envies	3	ok
differeth	differs	3	ok
cutteth	cuts	3	irregular
striveth	strives	3	ok
offendeth	offends	3	ok
transgresseth	transgresses	3	ok
tempteth	tempts	3	ok
sticketh	sticks	3	ok
confesseth	confesses	3	ok
sheddeth	sheds	3	ok
escapeth	escapes	3	ok
roareth	roars	3	ok
stumbleth	stumbles	3	ok
thirsteth	thirsts	3	ok
knocketh	knocks	3	ok
corrupteth	corrupts	3	ok
baptizeth	baptizes	3	ok
reapeth	reaps	3	ok
commendeth	commends	3	ok
behoveth	behoves	3	irregular
planteth	plants	3	ok
edifieth	edifies	3	ok
denieth	denies	3	ok
repenteth	repents	2	ok
dependeth	depends	2	ok
joineth	joins	2	ok
signifieth	signifies	2	ok
forgetteth	forgets	2	irregular
weareth	wears	2	ok
presenteth	presents	2	ok
selleth	sells	2	ok
protecteth	protects	2	ok
rageth	rages	2	curated
faceth	faces	2	ok
detesteth	detests	2	ok
ministereth	ministers	2	ok
consulteth	consults	2	ok
slighteth	slights	2	ok
oweth	owes	2	curated
cheereth	cheers	2	ok
endeavoureth	endeavours	2	curated
smelleth	smells	2	ok
soundeth	sounds	2	ok
concerneth	concerns	2	ok
acheth	aches	2	curated
numbereth	numbers	2	ok
rideth	rides	2	curated
chooseth	chooses	2	ok
withereth	withers	2	ok
alloweth	allows	2	ok
overthroweth	overthrows	2	ok
rooteth	roots	2	ok
discerneth	discerns	2	ok
trembleth	trembles	2	ok
governeth	governs	2	ok
swalloweth	swallows	2	ok
strengtheneth	strengthens	2	ok
panteth	pants	2	ok
forgiveth	forgives	2	ok
redeemeth	redeems	2	ok
subdueth	subdues	2	ok
increaseth	increases	2	ok
stealeth	steals	2	ok
refraineth	refrains	2	ok
spareth	spares	2	ok (corpus spare:55 vs spar:0)
expecteth	expects	2	ok
rendereth	renders	2	ok
drieth	dries	2	ok
contemneth	contemns	2	ok
wasteth	wastes	2	curated
determineth	determines	2	ok
quencheth	quenches	2	ok
hardeneth	hardens	2	ok
shooteth	shoots	2	ok
hurteth	hurts	2	ok
entertaineth	entertains	2	ok
sharpeneth	sharpens	2	ok
shameth	shames	2	ok (corpus shame:85 vs sham:0)
heapeth	heaps	2	ok
puffeth	puffs	2	ok
esteemeth	esteems	2	ok
containeth	contains	2	ok
extinguisheth	extinguishes	2	ok
abateth	abates	2	ok
establisheth	establishes	2	ok
plougheth	ploughs	2	ok
dishonoureth	dishonours	2	curated
buyeth	buys	2	irregular
waketh	wakes	2	ok
pricketh	pricks	2	ok
nameth	names	2	ok (corpus name:979 vs nam:0)
communicateth	communicates	2	ok
loseth	loses	2	ok
groaneth	groans	2	ok
defraudeth	defrauds	2	ok
beginneth	begins	2	ok
dreameth	dreams	2	ok
wakeneth	wakens	2	ok
inhabiteth	inhabits	2	ok
happeneth	happens	2	ok
exhorteth	exhorts	2	ok
comitteth	commits	2	curated
doeth	does	2	irregular
halteth	halts	2	ok
travaileth	travails	2	ok
dippeth	dips	2	ok
